"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.4946,0.292108673933067,0,0.99,25,0.125,"RL"
"good_deck_ratio",0.5254,0.281920620354213,0,1,13,0.065,"RL"
"lose_shift_ratio",0.56475,0.255973729611568,0.02,1,10,0.05,"RL"
"new_bad_deck_ratio",0.4747,0.2619311927754,0,1,13,0.065,"RL"
"new_good_deck_ratio",0.5347,0.262762498567178,0,1,14,0.07,"RL"
"skip_ratio",0.59475,0.273629866827619,0,1,20,0.1,"RL"
"total_money",0.49795,0.294298070451297,0.01,1,23,0.115,"RL"
"win_stay_ratio",0.50485,0.261212821643492,0.01,0.99,14,0.07,"RL"
"choice_prob",0.4506,0.278453446033696,0,1,19,0.095,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.4136,0.264658763895195,0,1,17,0.085,"SSM"
"mean_rt",0.327,0.150763550771418,0,0.76,9,0.045,"SSM"
"median_rt",0.3804,0.226504661782148,0,1,17,0.085,"SSM"
"min_rt",0.43665,0.213210155367325,0,0.92,8,0.04,"SSM"
"rt_play_mean",0.36185,0.214464572281342,0,0.92,12,0.06,"SSM"
"rt_play_median",0.38955,0.246183527364705,0,1,15,0.075,"SSM"
"rt_play_quantiles_10%",0.3422,0.214991316875027,0,0.97,14,0.07,"SSM"
"rt_play_quantiles_30%",0.3842,0.234744295824436,0,0.97,12,0.06,"SSM"
"rt_play_quantiles_50%",0.38955,0.246183527364705,0,1,15,0.075,"SSM"
"rt_play_quantiles_70%",0.4039,0.247597075018646,0,1,17,0.085,"SSM"
"rt_play_quantiles_90%",0.37795,0.241259878856242,0,0.95,12,0.06,"SSM"
"rt_skip_mean",0.38035,0.220607606578744,0,0.93,11,0.055,"SSM"
"rt_skip_median",0.38465,0.238881138837838,0,0.96,15,0.075,"SSM"
"rt_skip_quantiles_10%",0.42685,0.250937092959801,0,0.99,9,0.045,"SSM"
"rt_skip_quantiles_30%",0.38725,0.239863733300313,0,0.98,14,0.07,"SSM"
"rt_skip_quantiles_50%",0.38465,0.238881138837838,0,0.96,15,0.075,"SSM"
"rt_skip_quantiles_70%",0.4073,0.2490478551822,0,0.97,13,0.065,"SSM"
"rt_skip_quantiles_90%",0.41765,0.254232468896492,0,0.98,21,0.105,"SSM"
